StudentID,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,PerformanceScore,DropoutRisk
S00001,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,52.900000000000006,Medium Risk
S00002,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,72.60000000000001,Medium Risk
S00003,19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,78.9,Medium Risk
S00004,19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3,52.900000000000006,Medium Risk
S00005,19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2,72.60000000000001,Medium Risk
S00006,19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0,78.9,Medium Risk
S00007,19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3,52.900000000000006,Medium Risk
S00008,19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2,72.60000000000001,Medium Risk
S00009,19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0,78.9,Medium Risk
S00010,19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3,52.900000000000006,Medium Risk
S00011,19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2,72.60000000000001,Medium Risk
S00012,19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0,78.9,Medium Risk
S00013,19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,52.900000000000006,Medium Risk
S00014,19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,72.60000000000001,Medium Risk
S00015,19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,78.9,Medium Risk
S00016,19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3,52.900000000000006,Medium Risk
S00017,19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2,72.60000000000001,Medium Risk
S00018,19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0,78.9,Medium Risk
S00019,24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,67.30000000000001,Medium Risk
S00020,24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,83.9,Low Risk
S00021,24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,85.69999999999999,Low Risk
S00022,24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,67.30000000000001,Medium Risk
S00023,24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,83.9,Low Risk
S00024,24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,85.69999999999999,Low Risk
S00025,24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3,67.30000000000001,Medium Risk
S00026,24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1,83.9,Low Risk
S00027,24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0,85.69999999999999,Low Risk
S00028,24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3,67.30000000000001,Medium Risk
S00029,24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1,83.9,Low Risk
S00030,24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0,85.69999999999999,Low Risk
S00031,24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3,67.30000000000001,Medium Risk
S00032,24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1,83.9,Low Risk
S00033,24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0,85.69999999999999,Low Risk
S00034,24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3,67.30000000000001,Medium Risk
S00035,24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1,83.9,Low Risk
S00036,24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0,85.69999999999999,Low Risk
S00037,29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3,70.8,Low Risk
S00038,29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3,61.2,Medium Risk
S00039,29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2,80.3,Low Risk
S00040,29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3,70.8,Low Risk
S00041,29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3,61.2,Medium Risk
S00042,29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2,80.3,Low Risk
S00043,19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,62.5,Medium Risk
S00044,19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,91.0,Low Risk
S00045,19,92,2,0,1,1,0,19,3,12,1,63,40,1,2,3,62.5,Medium Risk
S00046,19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0,91.0,Low Risk
S00047,19,92,2,1,1,1,0,19,3,12,1,63,40,1,2,3,62.5,Medium Risk
S00048,19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0,91.0,Low Risk
S00049,19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,62.5,Medium Risk
S00050,19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,91.0,Low Risk
S00051,19,92,1,0,2,1,0,19,3,12,1,63,40,1,2,3,62.5,Medium Risk
S00052,19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0,91.0,Low Risk
S00053,29,84,0,1,0,1,1,21,2,10,1,57,48,1,2,3,61.5,Medium Risk
S00054,29,84,0,1,0,1,1,28,2,14,0,74,60,1,0,2,71.4,Low Risk
S00055,29,84,1,1,1,1,1,21,2,10,1,57,48,1,2,3,61.5,Medium Risk
S00056,29,84,1,1,1,1,1,28,2,14,0,74,60,1,0,2,71.4,Low Risk
